legislator_id,name
1,"Weber, Akilah, M.D."
2,"Muratsuchi, Al"
3,"Lee, Alex"
4,"Rendon, Anthony"
5,"Kalra, Ash"
6,"Valencia, Avelino"
7,"Essayli, Bill"
8,"Rubio, Blanca E."
9,"Pacheco, Blanca"
10,"Maienschein, Brian"
11,"Wicks, Buffy"
12,"Villapudua, Carlos"
13,"Aguiar-Curry, Cecilia M."
14,"Holden, Chris R."
15,"Ward, Christopher M."
16,"Jackson, Corey A."
17,"Petrie-Norris, Cottie"
18,"Connolly, Damon"
19,"Alvarez, David"
20,"Addis, Dawn"
21,"Mathis, Devon J."
22,"Dixon, Diane"
23,"Papan, Diane"
24,"Arambula, Dr. Joaquin"
25,"Garcia, Eduardo"
26,"Reyes, Eloise Gómez"
27,"Soria, Esmeralda"
28,"Low, Evan"
29,"Rodriguez, Freddie"
30,"Pellerin, Gail"
31,"Wallis, Greg"
32,"Hart, Gregg"
33,"Flora, Heath"
34,"Bryan, Isaac G."
35,"Irwin, Jacqui"
36,"Ramos, James C."
37,"Gallagher, James"
38,"Bains, Jasmeet"
39,"Gabriel, Jesse"
40,"Patterson, Jim"
41,"Wood, Jim"
42,"Patterson, Joe"
43,"Hoover, Josh"
44,"Lowenthal, Josh"
45,"Alanis, Juan"
46,"Carrillo, Juan"
47,"Sanchez, Kate"
48,"McCarty, Kevin"
49,"Friedman, Laura"
50,"Davies, Laurie"
51,"Calderon, Lisa"
52,"Ortega, Liz"
53,"Wilson, Lori D."
54,"Rivas, Luz M."
55,"Berman, Marc"
56,"Waldron, Marie"
57,"Haney, Matt"
58,"Dahle, Megan"
59,"Bonta, Mia"
60,"Santiago, Miguel"
61,"Gipson, Mike A."
62,"Fong, Mike"
63,"Ting, Philip Y."
64,"Chen, Phillip"
65,"Schiavo, Pilar"
66,"Bauer-Kahan, Rebecca"
67,"Jones-Sawyer, Reginald Byron, Sr."
68,"Zbur, Rick Chavez"
69,"Rivas, Robert"
70,"Cervantes, Sabrina"
71,"Quirk-Silva, Sharon"
72,"Nguyen, Stephanie"
73,"Bennett, Steve"
74,"Horvath, Tasha Boerner"
75,"Grayson, Timothy S."
76,"McKinnor, Tina"
77,"Lackey, Tom"
78,"Ta, Tri"
79,"Fong, Vince"
80,"Carrillo, Wendy"
81,"Wahab, Aisha"
82,"Ashby, Angelique V."
83,"Caballero, Anna M."
84,"Portantino, Anthony J."
85,"Allen, Benjamin"
86,"Dodd, Bill"
87,"Archuleta, Bob"
88,"Dahle, Brian"
89,"Jones, Brian W."
90,"Menjivar, Caroline"
91,"Blakespear, Catherine"
92,"Cortese, Dave"
93,"Min, Dave"
94,"Stern, Henry I."
95,"Nguyen, Janet"
96,"Laird, John"
97,"Becker, Josh"
98,"Newman, Josh"
99,"Seyarto, Kelly"
100,"Gonzalez, Lena A."
101,"Smallwood-Cuevas, Lola"
102,"Alvarado-Gil, Marie"
103,"Durazo, María Elena"
104,"Hurtado, Melissa"
105,"McGuire, Mike"
106,"Limón, Monique"
107,"Skinner, Nancy"
108,"Roth, Richard D."
109,"Niello, Roger W."
110,"Bogh, Rosilicie Ochoa"
111,"Wiener, Scott D."
112,"Wilk, Scott"
113,"Grove, Shannon"
114,"Padilla, Steve"
115,"Bradford, Steven"
116,"Glazer, Steven M."
117,"Rubio, Susan"
118,"Eggman, Susan Talamantes"
119,"Umberg, Thomas J."
120,"Atkins, Toni G."
